word,zipf,dom_pos
abrasive,2.6720,Adjective
abrasiveness,1.7690,Noun
abrasives,1.9908,Verb
abraxas,2.7690,Name
abreaction,1.5929,Noun
abreast,2.7232,Adjective
abridge,1.5929,Noun
abridged,2.2918,Adjective
abridgement,1.5929,Noun
abridging,1.7690,Verb
abroad,3.6915,Adverb
abrogate,1.5929,Verb
abrogated,1.7690,Verb
abrogating,1.5929,Verb
abrupt,3.0627,Adjective
abruption,2.1369,Noun
abruptly,2.9546,Adverb
abruptness,1.9908,Noun
abs,3.0322,Adjective
abscam,1.8939,Name
abscess,2.7068,Noun
abscessed,1.8939,Verb
abscesses,2.1949,Noun
abscond,2.0700,Verb
absconded,2.0700,Verb
absconder,1.5929,Noun
absconders,1.7690,Verb
absconding,1.8939,Verb
abseiling,1.5929,Verb
absence,3.8010,Noun
absences,2.4679,Noun
absent,3.4124,Adjective
absentee,2.5706,Noun
absenteeism,2.0700,Noun
absentees,1.9908,Noun
absentia,2.2918,Adverb
absenting,1.7690,Verb
absentminded,1.8939,Adjective
absentmindedness,1.5929,Noun
absinthe,2.7542,Verb
absinthes,1.8939,Noun
absinthium,1.5929,Noun
absit,1.5929,Verb
absolute,4.0538,Adjective
absolutely,5.0530,Adverb
absoluteness,1.5929,Noun
absolutes,2.6343,Noun
absolution,2.9820,Noun
absolutions,1.5929,Name
absolve,2.7690,Verb
absolved,2.4960,Verb
absolver,1.9908,Noun
absolves,1.9908,Verb
absolving,2.0700,Verb
absorb,3.3004,Verb
absorbed,3.1895,Verb
absorbent,2.2461,Adjective
absorber,1.8939,Noun
absorbers,2.2461,Noun
absorbing,2.6720,Verb
absorbs,2.7068,Verb
absorbtion,1.8939,Noun
absorption,2.5706,Noun
absorptions,1.5929,Noun
abstain,2.7232,Verb
abstained,1.9908,Verb
abstainers,1.5929,Noun
abstaining,2.2461,Verb
abstains,1.7690,Verb
abstention,2.1369,Noun
abstentions,1.5929,Noun
abstinence,2.9546,Noun
abstinent,1.8939,Noun
abstract,3.3411,Adjective
abstracted,1.8939,Adjective
abstracting,1.5929,Verb
abstraction,2.4960,Noun
abstractionist,1.5929,Noun
abstractions,2.0700,Noun
abstractly,1.7690,Adverb
abstracts,2.1949,Noun
abstruse,1.8939,Adjective
absurd,3.9873,Adjective
absurdist,1.5929,Noun
absurdities,2.1369,Noun
absurdity,2.8103,Noun
absurdly,2.4960,Adverb
abt,2.3710,Noun
abu,3.4124,Name
abulia,1.5929,Noun
abundance,2.9546,Noun
abundant,2.7690,Adjective
abundantly,2.6343,Adverb
abuse,4.0112,Noun
abused,3.6573,Verb
abuser,2.5223,Noun
abusers,2.3710,Noun
abuses,2.7068,Noun
abusing,3.0842,Verb
abusive,3.2161,Adjective
abusiveness,1.5929,Noun
abut,2.1369,Verb
abutment,2.1369,Noun
abutments,1.5929,Noun
abuts,1.7690,Verb
abutting,1.5929,Verb
abuzz,1.7690,Noun
abysmal,2.6343,Adjective
abysmally,1.5929,Adverb
abyss,3.2509,Noun
abyssal,1.5929,Noun
abysses,1.7690,Noun
abyssinia,2.2461,Name
abyssinian,2.2918,Adjective
abyssus,1.9908,Noun
ac,3.3372,Noun
acacia,2.2461,Noun
academe,1.7690,Noun
academes,1.5929,Noun
academia,2.4058,Noun
academic,3.6702,Adjective
academically,2.3710,Adverb
academician,1.5929,Noun
academics,2.8481,Noun
academies,2.1949,Noun
academy,4.0939,Noun
acadia,1.8939,Name
acanthus,1.5929,Adjective
acapulco,3.2109,Name
acc,2.2461,Noun
accademia,1.5929,Noun
accadian,1.5929,Adjective
accede,2.1949,Verb
acceded,1.5929,Verb
accelerant,2.7542,Noun
accelerate,3.1114,Verb
accelerated,2.9908,Adjective
accelerates,2.0700,Verb
accelerating,2.9546,Verb
acceleration,2.9450,Noun
accelerator,3.1369,Noun
accelerators,1.9908,Noun
accent,4.0856,Noun
accented,1.5929,Verb
accents,3.0627,Noun
accentuate,2.5706,Verb
accentuated,1.7690,Verb
accentuates,1.9908,Verb
accentuating,1.5929,Verb
accept,4.7221,Verb
acceptable,3.7232,Adjective
acceptance,3.5013,Noun
acceptances,1.7690,Noun
acceptant,1.5929,Noun
accepted,4.1960,Verb
accepting,3.6078,Verb
accepts,3.3212,Verb
access,4.5003,Noun
accessed,3.1895,Verb
accesses,1.7690,Verb
accessibility,1.7690,Noun
accessible,3.0477,Adjective
accessing,3.0242,Verb
accession,2.1369,Noun
accessories,3.1783,Noun
accessorise,1.5929,Verb
accessorize,2.5706,Verb
accessorized,1.7690,Verb
accessorizing,2.1369,Verb
accessory,3.4621,Noun
accident,4.9096,Noun
accidental,3.4794,Adjective
accidentally,3.9450,Adverb
accidentals,1.5929,Noun
accidently,2.3710,Adverb
accidents,3.8246,Noun
acclaim,2.6536,Noun
acclaimed,2.6141,Verb
acclaims,1.7690,Verb
acclamation,1.5929,Noun
acclimate,2.2461,Verb
acclimated,2.3332,Verb
acclimates,1.5929,Verb
acclimating,1.8939,Verb
acclimatization,1.5929,Noun
acclimatize,1.5929,Verb
acclimatized,1.7690,Verb
accolade,1.5929,Noun
accolades,2.2918,Noun
accommodate,3.3332,Verb
accommodated,2.0700,Verb
accommodates,1.8939,Verb
accommodating,2.8600,Verb
accommodation,2.9820,Noun
accommodations,3.2263,Noun
accommodative,1.5929,Adjective
accomodate,2.1369,Verb
accompanied,3.3171,Verb
accompanier,1.5929,
accompanies,2.4380,Verb
accompaniment,2.4960,Noun
accompanist,2.3332,Noun
accompanists,1.5929,Noun
accompany,3.6774,Verb
accompanying,2.9731,Verb
accompli,2.2461,Noun
accomplice,3.6283,Noun
accomplices,3.0627,Noun
accomplish,3.7675,Verb
accomplished,3.8773,Verb
accomplishes,2.1949,Verb
accomplishing,2.7232,Verb
accomplishment,3.2786,Noun
accomplishments,3.2056,Noun
accord,3.2161,Noun
accordable,1.5929,Adjective
accordance,3.2056,Preposition
accorded,2.1949,Verb
according,4.6214,Preposition
accordingly,3.2650,Adverb
accordion,3.1243,Noun
accordions,1.8939,Noun
accords,2.2918,Noun
accost,1.8939,Verb
accosted,2.8359,Verb
accosting,1.9908,Verb
accosts,1.5929,Verb
account,4.6500,Noun
accountability,2.6898,Noun
accountable,3.1552,Adjective
accountancy,1.8939,Noun
accountant,3.7915,Noun
accountants,3.0400,Noun
accounted,3.4822,Verb
accounting,3.6554,Noun
accounts,4.0202,Noun
accoutered,1.5929,Adjective
accoutre,1.5929,Noun
accoutred,1.7690,Verb
accoutrement,2.1369,Noun
accoutrements,2.1369,Noun
accra,1.9908,Name
accreditation,2.2918,Noun
accredited,2.5223,Adjective
accrediting,1.5929,Verb
accrete,1.5929,Verb
accrual,1.7690,Noun
accrue,1.9908,Verb
accrued,2.4380,Verb
accrues,1.5929,Verb
accruing,1.7690,Verb
accumulate,2.7690,Verb
accumulated,2.8939,Verb
accumulates,2.3710,Verb
accumulating,2.5706,Verb
accumulation,2.4380,Noun
accumulations,1.5929,Noun
accumulative,1.8939,Adjective
accumulator,1.5929,Noun
accuracy,3.1783,Noun
accurate,3.8950,Adjective
accurately,3.0627,Adverb
accursed,2.8233,Adjective
accusation,3.4502,Noun
accusations,3.4794,Noun
accusatory,1.8939,Adjective
accuse,3.7557,Verb
accused,4.1160,Verb
accuser,2.4960,Noun
accusers,2.2461,Noun
accuses,2.7970,Verb
accusing,3.6950,Verb
accustom,2.1369,Verb
accustomed,3.4679,Adjective
ace,4.1681,Noun
aced,2.8939,Verb
acentric,1.5929,Adjective
acerbic,1.9908,Adjective
aces,3.5993,Noun
acetabulum,1.7690,Noun
acetaminophen,2.0700,Noun
acetate,2.1369,Noun
acetates,1.5929,Noun
acetic,1.5929,Adjective
acetone,2.2461,Noun
acetyl,1.7690,Noun
acetylcholine,2.1949,Verb
acetylene,2.6720,Noun
acetylsalicylic,1.9908,Adjective
ach,2.8829,Interjection
achar,1.5929,Noun
ache,3.3990,Noun
ached,2.5223,Verb
acher,1.7690,Noun
acheron,2.7068,Name
aches,3.1839,Verb
achievable,1.7690,Adjective
achieve,3.8659,Verb
achieved,3.6343,Verb
achievement,3.5447,Noun
achievements,3.0400,Noun
achiever,2.4058,Verb
achievers,2.2918,Noun
achieves,2.5223,Verb
achieving,2.8716,Verb
achilles,3.3563,Name
achiness,1.5929,Noun
aching,3.3171,Verb
achingly,1.7690,Adverb
achondroplasia,1.7690,Noun
achoo,2.0700,Noun
achy,2.6720,Adjective
acid,3.9986,Noun
acidemia,1.7690,Noun
acidic,2.3710,Adjective
acidity,2.3332,Noun
acidizing,1.5929,Verb
acidophilus,1.8939,Noun
acidosis,2.2461,Noun
acidotic,1.9908,Adjective
acids,2.9253,Noun
acing,1.9908,Verb
ack,2.7690,Name
ackee,1.5929,Noun
acker,2.2461,Name
acknowledge,3.7888,Verb
acknowledged,3.2962,Verb
acknowledgement,2.6343,Noun
acknowledgements,1.9908,Noun
acknowledges,2.4380,Verb
acknowledging,2.8600,Verb
acknowledgment,2.7232,Noun
acknowledgments,1.5929,Noun
aclu,2.6343,Noun
acme,3.1047,Noun
acne,2.9639,Noun
acnes,1.5929,Noun
acolyte,2.1949,Noun
acolytes,2.1369,Noun
acoma,1.8939,Noun
aconitum,1.9908,Noun
acorn,2.8716,Noun
acorns,2.5929,Noun
acoustic,2.9908,Adjective
acoustical,2.1369,Adjective
acoustically,1.5929,Adverb
acoustics,2.6536,Noun
acquaint,2.6141,Verb
acquaintance,3.7296,Noun
acquaintances,3.0322,Noun
acquaintanceship,1.9908,Noun
acquainted,3.6573,Verb
acquainting,1.7690,Verb
acquiesce,1.8939,Verb
acquiesced,2.0700,Verb
acquiescence,2.0700,Noun
acquiescent,1.5929,Adjective
acquiescing,1.7690,Verb
acquire,3.4254,Verb
acquired,3.6517,Verb
acquirer,1.5929,Noun
acquires,2.2461,Verb
acquiring,2.9353,Verb
acquisition,3.1669,Noun
acquisitions,2.8233,Noun
acquisitive,1.8939,Adjective
acquisitiveness,1.5929,Noun
acquit,2.6898,Noun
acquittal,2.8716,Noun
acquittals,1.5929,Noun
acquitted,3.1895,Verb
acquitting,2.1369,Verb
acre,3.2650,Noun
acreage,2.6536,Noun
acres,3.6629,Noun
acrid,1.7690,Adjective
acrimonious,2.1949,Adjective
acrimony,2.3710,Noun
acrobat,2.7832,Noun
acrobatic,2.4058,Adjective
acrobatics,2.3710,Noun
acrobats,2.5929,Noun
acromegalia,2.3332,Noun
acromion,1.7690,Noun
acronym,2.4960,Noun
acronyms,2.1949,Noun
acrophobia,2.3332,Noun
acropolis,2.1369,Noun
across,4.9733,Preposition
acrylic,2.6720,Adjective
acrylics,1.8939,Noun
act,5.0374,Verb
acta,1.5929,Name
acted,4.0314,Verb
actg,1.5929,Noun
actin,3.0322,Noun
acting,4.7193,Verb
actings,1.5929,Noun
actinic,1.5929,Adjective
action,4.7854,Noun
actionable,2.4380,Adjective
actioner,1.5929,Noun
actions,4.0849,Noun
activate,3.6702,Verb
activated,3.6362,Verb
activates,2.5223,Verb
activating,2.9450,Verb
activation,2.9353,Noun
activator,1.9908,Noun
active,4.0590,Adjective
actively,2.9253,Adverb
actives,1.5929,Noun
activism,2.2918,Noun
activist,2.9994,Noun
activists,2.5706,Noun
activities,3.9353,Noun
activity,4.1101,Noun
acton,2.4058,Name
actor,4.4202,Noun
actors,4.1014,Noun
actory,1.5929,Adjective
actress,4.2046,Noun
actresses,3.3563,Noun
acts,4.0960,Noun
actu,1.5929,Noun
actual,4.2388,Adjective
actualisation,1.7690,Noun
actualised,1.5929,Verb
actualities,1.5929,Noun
actuality,2.6898,Noun
actualization,1.8939,Noun
actualize,1.7690,Verb
actually,5.5077,Adverb
actuals,1.7690,Noun
actuarial,2.2918,Adjective
actuarially,1.5929,Adverb
actuaries,1.5929,Noun
actuary,2.1949,Noun
actuate,1.5929,Verb
actuated,1.8939,Verb
actuating,1.5929,Adjective
actuation,1.5929,Noun
actuator,1.7690,Noun
actuators,1.7690,Noun
acuity,2.4679,Noun
acumen,2.1949,Noun
acupressure,2.1369,Noun
acupuncture,2.8716,Noun
acupuncturist,2.2918,Noun
acupuncturists,1.7690,Noun
acute,3.4708,Adjective
acutely,2.4679,Adverb
acuteness,1.5929,Noun
acyclovir,1.5929,Noun
ad,4.1338,Noun
adage,2.8103,Noun
adages,1.5929,Noun
adagio,2.4058,Noun
adam,4.5685,Name
adamant,2.9994,Adjective
adamantine,1.5929,Adjective
adamantly,1.7690,Adverb
adamas,1.5929,Noun
adams,3.9649,Name
adance,1.5929,Noun
adapt,3.4222,Verb
adaptability,2.1949,Noun
adaptable,2.5471,Adjective
adaptation,3.2056,Noun
adaptations,1.8939,Noun
adapted,3.0477,Verb
adapter,2.3710,Noun
adapting,2.7390,Verb
adaption,1.5929,Noun
adaptive,2.3710,Adjective
adaptor,1.9908,Noun
adaptors,1.5929,Noun
adapts,1.8939,Verb
adar,1.8939,Name
adc,2.1949,Name
add,4.5189,Verb
added,3.9847,Verb
addenda,1.7690,Noun
addendum,2.4960,Noun
addendums,1.9908,Noun
adder,3.1611,Noun
adders,1.7690,Noun
addict,3.7296,Noun
addicted,3.6573,Verb
addicting,1.8939,Verb
addiction,3.5929,Noun
addictions,2.6343,Noun
addictive,3.0553,Adjective
addictiveness,1.7690,Noun
addicts,3.3212,Noun
adding,3.6057,Verb
addio,1.9908,Noun
addis,2.3332,Name
addison,3.2556,Name
addition,3.8895,Preposition
additional,3.7704,Adjective
additionally,2.5223,Adverb
additions,2.3710,Noun
additive,2.3710,Adjective
additives,2.3332,Noun
addle,2.2461,Verb
addled,2.3710,Adjective
addlepated,1.7690,Verb
addling,1.5929,Verb
addr,1.7690,Noun
address,4.7179,Noun
addressed,3.5819,Verb
addressee,2.1369,Noun
addresser,1.7690,Name
addresses,3.5040,Noun
addressing,3.3253,Verb
adds,3.5972,Verb
adduce,1.5929,Verb
adduced,1.5929,Verb
adductor,1.5929,Noun
ade,2.4960,Name
adelante,1.5929,Noun
aden,2.1369,Name
adenia,1.5929,Name
adenine,1.7690,Name
adenocarcinoma,1.5929,Noun
adenoid,2.0700,Name
adenoidal,1.5929,Adjective
adenoids,2.3710,Noun
adenoma,1.5929,Noun
adenopathy,1.5929,Noun
adenosine,2.1369,Noun
adept,2.8233,Adjective
adeptness,1.5929,Noun
adepts,1.7690,Noun
adequacy,1.5929,Noun
adequate,3.4157,Adjective
adequately,2.7390,Adverb
adeste,1.8939,Name
adhere,2.7690,Verb
adhered,2.1369,Verb
adherence,2.2918,Noun
adherent,1.8939,Noun
adherents,1.5929,Noun
adheres,1.8939,Verb
adhering,2.2918,Verb
adhesion,2.1369,Noun
adhesions,2.1949,Noun
adhesive,2.9731,Noun
adhesives,1.5929,Noun
adiabatic,1.5929,Adjective
adieu,3.2696,Interjection
adieus,1.5929,Noun
adios,3.4960,Noun
adipocere,2.1369,Noun
adipose,1.9908,Verb
adiposity,1.5929,Noun
adjacencies,1.5929,Noun
adjacent,3.1307,Adjective
adjective,2.7068,Noun
adjectives,2.7068,Noun
adjoined,1.5929,Adjective
adjoining,3.0553,Adjective
adjoins,2.0700,Verb
adjoints,1.5929,Verb
adjourn,3.1179,Verb
adjourned,3.6915,Verb
adjourning,1.7690,Verb
adjournment,2.3710,Noun
adjourns,1.7690,Verb
adjudge,1.5929,Verb
adjudged,1.8939,Verb
adjudicate,2.0700,Verb
adjudicated,2.1369,Verb
adjudicating,1.5929,Verb
adjudication,2.2918,Noun
adjudicator,1.9908,Noun
adjunct,2.1949,Noun
adjure,1.5929,Verb
adjust,3.7512,Verb
adjustability,1.5929,Noun
adjustable,2.5223,Adjective
adjusted,3.2603,Verb
adjuster,2.6141,Noun
adjusters,2.1949,Noun
adjusting,3.3782,Verb
adjustment,3.4932,Noun
adjustments,3.1492,Noun
adjustor,1.9908,Noun
adjusts,2.2918,Verb
adjutant,2.9546,Noun
adjutants,1.5929,Noun
adjuvant,1.5929,Adjective
adm,2.9820,Name
admin,2.6536,Noun
administer,3.2263,Verb
administered,3.1783,Verb
administerial,1.5929,Adjective
administering,2.6898,Verb
administers,2.1369,Verb
administrate,1.7690,Verb
administrates,1.5929,Verb
administration,3.8807,Noun
administrations,2.5223,Noun
administrative,3.2109,Adjective
administrator,3.2213,Noun
administrators,2.5706,Noun
adminstration,1.5929,Noun
admirable,3.4189,Adjective
admirably,2.6343,Adverb
admiral,4.2192,Noun
admirals,2.7690,Noun
admiralty,2.8359,Noun
admiration,3.3253,Noun
admire,4.1510,Verb
admired,3.5660,Verb
admirer,3.4737,Noun
admirers,2.9908,Noun
admires,2.7232,Verb
admiring,3.4441,Verb
admissibility,1.9908,Noun
admissible,2.8716,Adjective
admission,3.5519,Noun
admissions,3.3411,Noun
admit,4.7718,Verb
admits,3.3171,Verb
admittance,2.8359,Noun
admittances,1.7690,Noun
admitted,3.9621,Verb
admittedly,2.9731,Adverb
admittee,1.5929,Noun
admittible,1.5929,Adjective
admitting,3.4905,Verb
admixture,1.5929,Noun
admonish,1.9908,Verb
admonished,1.9908,Verb
admonishing,1.7690,Verb
admonishments,1.5929,Noun
admonition,2.0700,Noun
admonitions,1.5929,Noun
adnexa,1.5929,Noun
adnexal,1.7690,Adjective
ado,3.1839,Noun
adobe,2.6898,Noun
adolescence,2.9450,Noun
adolescences,1.5929,Noun
adolescent,3.2696,Adjective
adolescents,2.7690,Noun
adolf,3.1369,Name
adolph,2.9253,Name
adonai,2.5471,Noun
adonis,2.6141,Noun
adopt,3.6702,Verb
adoptable,1.5929,Adjective
adopted,3.9263,Verb
adopter,1.5929,Noun
adopting,3.0772,Verb
adoption,3.6720,Noun
adoptions,2.1949,Noun
adoptive,2.7832,Adjective
adopts,2.3710,Verb
adorability,1.5929,Noun
adorable,4.0226,Adjective
adorableness,1.5929,Noun
adorably,1.7690,Adverb
adoration,2.7832,Noun
adore,3.8884,Verb
adored,3.3922,Verb
adorers,1.5929,Noun
adores,3.2556,Verb
adoring,2.8481,Adjective
adoringly,1.8939,Adverb
adorn,2.2461,Verb
adorned,2.2461,Verb
adorning,1.7690,Verb
adornment,1.9908,Noun
adornments,1.7690,Noun
adorns,1.8939,Verb
adrenal,2.5223,Adjective
adrenalectomy,1.7690,Noun
adrenalin,2.7542,Noun
adrenaline,3.5197,Noun
adrenals,1.9908,Noun
adrenochrome,2.1369,Noun
adriatic,2.2461,Name
adrift,3.0078,Adjective
adroit,2.1369,Adjective
adroitly,1.8939,Adverb
adroitness,1.5929,Noun
adrop,1.5929,Noun
ads,3.7051,Noun
adulation,2.4679,Noun
adult,4.1552,Noun
adulterant,1.5929,Noun
adulterate,1.5929,Verb
adulterated,1.5929,Adjective
adulterating,1.5929,Verb
adulterer,2.6141,Noun
adulterers,2.1949,Noun
adulteress,2.4380,Noun
adulterize,1.5929,Verb
adulterous,2.5471,Adjective
adultery,3.2918,Noun
adulthood,2.8716,Noun
adults,3.9811,Noun
adust,1.5929,Verb
adv,1.5929,Noun
advance,4.2035,Noun
advanced,3.9470,Adjective
advancement,3.0980,Noun
advancements,2.2461,Noun
advances,3.4650,Noun
advancing,3.1783,Adjective
advantage,4.3434,Noun
advantaged,1.7690,Verb
advantageous,2.6141,Adjective
advantages,3.4532,Noun
advent,2.6898,Noun
adventist,2.6536,Adjective
adventists,2.1949,Noun
adventure,4.1282,Noun
adventurer,2.8716,Noun
adventurers,2.3710,Noun
adventures,3.5590,Noun
adventuresome,1.8939,Adjective
adventuress,2.3710,Noun
adventuring,1.9908,Verb
adventurist,1.5929,Noun
adventurous,3.0912,Adjective
adventurousness,1.5929,Noun
adverb,2.3332,Noun
adverbial,1.8939,Adjective
adverbs,2.0700,Noun
adversarial,2.4058,Adjective
adversaries,2.7970,Noun
adversary,3.1839,Noun
adverse,2.8600,Adjective
adversely,2.3710,Adverb
adversities,1.8939,Noun
adversity,3.0322,Noun
advert,2.4380,Noun
adverted,1.5929,Verb
advertently,1.5929,Adverb
advertise,3.2213,Verb
advertised,3.0161,Verb
advertisement,3.0842,Noun
advertisements,2.7068,Noun
advertiser,2.2461,Noun
advertisers,2.6898,Noun
advertises,2.1949,Verb
advertising,3.8716,Noun
adverts,1.9908,Noun
advice,4.6806,Noun
advices,1.8939,Noun
advisable,2.9046,Adjective
advise,4.0863,Verb
advised,3.7200,Verb
advisedly,2.0700,Adverb
advisee,2.4380,Noun
advisees,2.6536,Noun
advisement,2.8939,Noun
adviser,3.0242,Noun
advisers,2.4380,Noun
advises,2.6898,Verb
advising,3.1307,Verb
advisor,3.6459,Noun
advisories,1.7690,Verb
advisors,3.1179,Noun
advisory,3.0078,Adjective
advocaat,1.8939,Verb
advocacy,2.4960,Noun
advocate,3.3487,Noun
advocated,2.5706,Verb
advocates,2.5471,Noun
advocating,2.5471,Verb
ae,2.6898,Unclassified
aedes,1.5929,Verb
aegean,2.5929,Name
aegis,2.0700,Noun
aegisthus,2.1949,Noun
aeneas,1.9908,Name
aeolian,1.5929,Adjective
aeon,2.7068,Noun
aeons,1.5929,Noun
aer,1.7690,Noun
aerate,1.5929,Verb
aerating,1.5929,Verb
aeration,1.5929,Noun
aerial,3.4058,Noun
aerialist,1.5929,Noun
aerials,2.2918,Noun
aerie,1.5929,Noun
aeries,1.5929,Noun
aero,2.0700,Noun
aerobatics,1.5929,Noun
aerobic,2.2918,Adjective
aerobically,1.7690,Adverb
aerobics,3.1949,Noun
aerodromes,1.5929,Noun
aerodynamic,2.6536,Adjective
aerodynamically,1.8939,Adverb
aerodynamics,2.5223,Noun
aerodyne,1.8939,Name
aeroelastic,1.7690,Adjective
aerofoils,1.5929,Noun
aeron,1.5929,Name
aeronautical,2.4058,Adjective
aeronautics,2.2918,Noun
aeroplane,3.1492,Noun
aeroplanes,2.2918,Noun
aerosol,2.4679,Noun
aerosolized,1.8939,Adjective
aerosols,1.5929,Noun
aerospace,3.0400,Noun
aery,1.5929,Adjective
aeschylus,1.9908,Name
aesir,1.7690,Noun
aesop,2.4679,Name
aesthete,2.1369,Noun
aesthetes,1.5929,Noun
aesthetic,2.8359,Adjective
aesthetically,2.4058,Adverb
aesthetics,2.4960,Noun
aet,2.0700,Unclassified
af,2.8481,Unclassified
afar,3.0700,Adverb
afb,1.7690,Noun
afd,1.7690,Noun
afeard,2.3710,Noun
afeared,2.0700,Verb
afebrile,1.9908,Noun
afer,1.5929,Verb
aff,2.2461,Noun
affa,1.9908,Noun
affability,1.9908,Noun
affable,2.1369,Adjective
affably,1.7690,Adverb
affair,4.4688,Noun
affaire,1.5929,Noun
affaires,1.8939,Noun
affairs,4.1657,Noun
affect,4.0469,Verb
affectation,2.1949,Noun
affectations,1.7690,Noun
affected,3.8309,Verb
affectedly,1.5929,Adverb
affecting,3.4091,Verb
affection,3.9273,Noun
affectionate,3.3563,Adjective
affectionately,2.7970,Adverb
affections,3.0842,Noun
affective,1.9908,Adjective
affectless,1.5929,Adjective
affects,3.6810,Verb
affenpinscher,1.5929,Noun
affianced,1.8939,Verb
affiant,1.5929,Noun
affiche,1.5929,Noun
afficionado,1.5929,Noun
affidavit,3.2962,Noun
affidavits,2.7970,Noun
affiliate,2.4960,Noun
affiliated,2.9046,Verb
