word,gender_category,word_kind,source,weat_set,specification
second,neutral,common,duet,,
shampoo,neutral,common,duet,,
shed,neutral,common,duet,,
sheet,neutral,common,duet,,
shell,neutral,common,duet,,
sherwood,neutral,common,duet,,
shoot,neutral,common,duet,,
shorts,neutral,common,duet,,
shoulder,neutral,common,duet,,
shower,neutral,common,duet,,
sign,neutral,common,duet,,
silk,neutral,common,duet,,
skates,neutral,common,duet,,
ski,neutral,common,duet,,
skull,neutral,common,duet,,
sled,neutral,common,duet,,
sleep,neutral,common,duet,,
sling,neutral,common,duet,,
slipper,neutral,common,duet,,
sloth,neutral,common,duet,,
smoke,neutral,common,duet,,
smoothie,neutral,common,duet,,
snake,neutral,common,duet,,
snap,neutral,common,duet,,
soap,neutral,common,duet,,
soup,neutral,common,duet,,
sphinx,neutral,common,duet,,
spirit,neutral,common,duet,,
spoon,neutral,common,duet,,
spray,neutral,common,duet,,
spurs,neutral,common,duet,,
squash,neutral,common,duet,,
squirrel,neutral,common,duet,,
stable,neutral,common,duet,,
stamp,neutral,common,duet,,
steam,neutral,common,duet,,
steel,neutral,common,duet,,
step,neutral,common,duet,,
stethoscope,neutral,common,duet,,
sticker,neutral,common,duet,,
storm,neutral,common,duet,,
story,neutral,common,duet,,
street,neutral,common,duet,,
sugar,neutral,common,duet,,
sumo,neutral,common,duet,,
sun,neutral,common,duet,,
swamp,neutral,common,duet,,
sweat,neutral,common,duet,,
sword,neutral,common,duet,,
tank,neutral,common,duet,,
taste,neutral,common,duet,,
tattoo,neutral,common,duet,,
tea,neutral,common,duet,,
tear,neutral,common,duet,,
thunder,neutral,common,duet,,
tiger,neutral,common,duet,,
tin,neutral,common,duet,,
tip,neutral,common,duet,,
tipi,neutral,common,duet,,
toast,neutral,common,duet,,
tornado,neutral,common,duet,,
trick,neutral,common,duet,,
troll,neutral,common,duet,,
tunnel,neutral,common,duet,,
turtle,neutral,common,duet,,
tutu,neutral,common,duet,,
tuxedo,neutral,common,duet,,
university,neutral,common,duet,,
vampire,neutral,common,duet,,
viking,neutral,common,duet,,
virus,neutral,common,duet,,
volcano,neutral,common,duet,,
volume,neutral,common,duet,,
wagon,neutral,common,duet,,
walrus,neutral,common,duet,,
werewolf,neutral,common,duet,,
wheel,neutral,common,duet,,
wheelchair,neutral,common,duet,,
whistle,neutral,common,duet,,
window,neutral,common,duet,,
wing,neutral,common,duet,,
wish,neutral,common,duet,,
wool,neutral,common,duet,,
zombie,neutral,common,duet,,
